image,bbox,label
SNMOT-070/img1/000001.jpg,0,2
SNMOT-070/img1/000001.jpg,1,2
SNMOT-070/img1/000001.jpg,2,2
SNMOT-070/img1/000001.jpg,3,2
SNMOT-070/img1/000001.jpg,4,2
SNMOT-070/img1/000001.jpg,5,2
SNMOT-070/img1/000001.jpg,6,2
SNMOT-070/img1/000001.jpg,7,2
SNMOT-070/img1/000001.jpg,8,2
SNMOT-070/img1/000001.jpg,9,2
SNMOT-070/img1/000001.jpg,10,2
SNMOT-070/img1/000001.jpg,11,1
SNMOT-070/img1/000002.jpg,0,2
SNMOT-070/img1/000002.jpg,1,2
SNMOT-070/img1/000002.jpg,2,2
SNMOT-070/img1/000002.jpg,3,2
SNMOT-070/img1/000002.jpg,4,2
SNMOT-070/img1/000002.jpg,5,2
SNMOT-070/img1/000002.jpg,6,2
SNMOT-070/img1/000002.jpg,7,2
SNMOT-070/img1/000002.jpg,8,2
SNMOT-070/img1/000002.jpg,9,2
SNMOT-070/img1/000002.jpg,10,2
SNMOT-070/img1/000002.jpg,11,1
SNMOT-070/img1/000003.jpg,0,2
SNMOT-070/img1/000003.jpg,1,2
SNMOT-070/img1/000003.jpg,2,2
SNMOT-070/img1/000003.jpg,3,2
SNMOT-070/img1/000003.jpg,4,2
SNMOT-070/img1/000003.jpg,5,2
SNMOT-070/img1/000003.jpg,6,2
SNMOT-070/img1/000003.jpg,7,2
SNMOT-070/img1/000003.jpg,8,2
SNMOT-070/img1/000003.jpg,9,2
SNMOT-070/img1/000003.jpg,10,2
SNMOT-070/img1/000003.jpg,11,1
SNMOT-070/img1/000004.jpg,0,2
SNMOT-070/img1/000004.jpg,1,2
SNMOT-070/img1/000004.jpg,2,2
SNMOT-070/img1/000004.jpg,3,2
SNMOT-070/img1/000004.jpg,4,2
SNMOT-070/img1/000004.jpg,5,2
SNMOT-070/img1/000004.jpg,6,2
SNMOT-070/img1/000004.jpg,7,2
SNMOT-070/img1/000004.jpg,8,2
SNMOT-070/img1/000004.jpg,9,2
SNMOT-070/img1/000004.jpg,10,2
SNMOT-070/img1/000004.jpg,11,1
SNMOT-070/img1/000005.jpg,0,2
SNMOT-070/img1/000005.jpg,1,2
SNMOT-070/img1/000005.jpg,2,2
SNMOT-070/img1/000005.jpg,3,2
SNMOT-070/img1/000005.jpg,4,2
SNMOT-070/img1/000005.jpg,5,2
SNMOT-070/img1/000005.jpg,6,2
SNMOT-070/img1/000005.jpg,7,2
SNMOT-070/img1/000005.jpg,8,2
SNMOT-070/img1/000005.jpg,9,2
SNMOT-070/img1/000005.jpg,10,2
SNMOT-070/img1/000005.jpg,11,1
SNMOT-070/img1/000006.jpg,0,2
SNMOT-070/img1/000006.jpg,1,2
SNMOT-070/img1/000006.jpg,2,2
SNMOT-070/img1/000006.jpg,3,2
SNMOT-070/img1/000006.jpg,4,2
SNMOT-070/img1/000006.jpg,5,2
SNMOT-070/img1/000006.jpg,6,2
SNMOT-070/img1/000006.jpg,7,2
SNMOT-070/img1/000006.jpg,8,2
SNMOT-070/img1/000006.jpg,9,2
SNMOT-070/img1/000006.jpg,10,2
SNMOT-070/img1/000006.jpg,11,1
SNMOT-070/img1/000007.jpg,0,2
SNMOT-070/img1/000007.jpg,1,2
SNMOT-070/img1/000007.jpg,2,2
SNMOT-070/img1/000007.jpg,3,2
SNMOT-070/img1/000007.jpg,4,2
SNMOT-070/img1/000007.jpg,5,2
SNMOT-070/img1/000007.jpg,6,2
SNMOT-070/img1/000007.jpg,7,2
SNMOT-070/img1/000007.jpg,8,2
SNMOT-070/img1/000007.jpg,9,2
SNMOT-070/img1/000007.jpg,10,2
SNMOT-070/img1/000007.jpg,11,1
SNMOT-070/img1/000008.jpg,0,2
SNMOT-070/img1/000008.jpg,1,2
SNMOT-070/img1/000008.jpg,2,2
SNMOT-070/img1/000008.jpg,3,2
SNMOT-070/img1/000008.jpg,4,2
SNMOT-070/img1/000008.jpg,5,2
SNMOT-070/img1/000008.jpg,6,2
SNMOT-070/img1/000008.jpg,7,2
SNMOT-070/img1/000008.jpg,8,2
SNMOT-070/img1/000008.jpg,9,2
SNMOT-070/img1/000008.jpg,10,2
SNMOT-070/img1/000008.jpg,11,1
SNMOT-070/img1/000009.jpg,0,2
SNMOT-070/img1/000009.jpg,1,2
SNMOT-070/img1/000009.jpg,2,2
SNMOT-070/img1/000009.jpg,3,2
SNMOT-070/img1/000009.jpg,4,2
SNMOT-070/img1/000009.jpg,5,2
SNMOT-070/img1/000009.jpg,6,2
SNMOT-070/img1/000009.jpg,7,2
SNMOT-070/img1/000009.jpg,8,2
SNMOT-070/img1/000009.jpg,9,2
SNMOT-070/img1/000009.jpg,10,2
SNMOT-070/img1/000009.jpg,11,1
SNMOT-070/img1/000010.jpg,0,2
SNMOT-070/img1/000010.jpg,1,2
SNMOT-070/img1/000010.jpg,2,2
SNMOT-070/img1/000010.jpg,3,2
SNMOT-070/img1/000010.jpg,4,2
SNMOT-070/img1/000010.jpg,5,2
SNMOT-070/img1/000010.jpg,6,2
SNMOT-070/img1/000010.jpg,7,2
SNMOT-070/img1/000010.jpg,8,2
SNMOT-070/img1/000010.jpg,9,2
SNMOT-070/img1/000010.jpg,10,2
SNMOT-070/img1/000010.jpg,11,1
SNMOT-070/img1/000011.jpg,0,2
SNMOT-070/img1/000011.jpg,1,2
SNMOT-070/img1/000011.jpg,2,2
SNMOT-070/img1/000011.jpg,3,2
